order_id,date,product,category,purchase_price,sale_price,profit,quantity,order_status,delivery_date,delivery_time_(days),delivery_cost,revenue,salesperson,customer_name,gender,age,age_group,state,country
1001,2022-08-12,Sandles,Footwear,22,42,0,3,Cancelled,2022-08-18,2,5,0,Lisa Rizi,Luis Howell,Male,31,Middle Age,Houston,United States
1002,2022-04-19,Jeans,Clothing,89,129,1437,36,Delivered,2022-04-24,5,3,1440,Lisa Rizi,Todd Gonzalez,Male,24,Young,"Washington, D.C.",United States
1003,2022-05-07,Sandles,Footwear,94,128,0,5,Cancelled,2022-05-12,2,4,0,Chris Jordan,James Parker,Male,33,Middle Age,Boston,United States
1004,2022-03-08,T-shirt,Clothing,31,54,0,2,Cancelled,2022-03-11,1,5,0,Arnold Fazer,Karen Payne,Male,62,Senior,Houston,United States
1005,2022-10-30,T-shirt,Clothing,42,69,0,11,Cancelled,2022-11-03,1,3,0,Lisa Rizi,Yvonne Rivas,Male,58,Senior,Houston,United States
1006,2022-07-06,Watch,Accessories,70,110,0,48,Cancelled,2022-07-07,1,2,0,Arnold Fazer,Nicole Simon,Male,54,Senior,Atlanta,United States
1007,2022-12-11,TV,Electronics,25,65,236,6,Delivered,2022-12-17,6,4,240,Chris Jordan,Jeffrey Griffin,Male,56,Senior,Boston,United States
1008,2022-02-07,Washing Machine,Appliances,56,77,101,5,Delivered,2022-02-13,6,4,105,Emily Lizz,Charles Gordon,Male,34,Middle Age,Miami,United States
1009,2022-02-23,Sandles,Footwear,38,69,897,29,Delivered,2022-02-26,3,2,899,Chris Jordan,Pamela Holmes,Male,54,Senior,Atlanta,United States
1010,2022-10-05,Laptop,Electronics,79,90,249,23,Delivered,2022-10-07,2,4,253,Lisa Rizi,Kimberly Ferguson,Male,36,Middle Age,Los Angeles,United States
1011,2022-05-12,Smartphone,Electronics,85,113,947,34,Delivered,2022-05-15,3,5,952,Emily Lizz,Robert Garcia,Male,57,Senior,Miami,United States
1012,2022-02-01,Sandles,Footwear,32,63,1361,44,Delivered,2022-02-06,2,3,1364,Arnold Fazer,Ricardo Sanchez,Male,18,Young,Miami,United States
1013,2022-07-26,Washing Machine,Appliances,21,44,341,15,Delivered,2022-07-31,5,4,345,Chris Jordan,Nancy Hall,Male,51,Senior,Houston,United States
1014,2022-11-30,Smartphone,Electronics,74,95,814,39,Delivered,2022-12-03,3,5,819,David Willy,Joseph Hampton,Male,41,Middle Age,Chicago,United States
1015,2022-09-05,Laptop,Electronics,74,107,29,1,Delivered,2022-09-10,5,4,33,Arnold Fazer,Tiffany Hernandez,Male,36,Middle Age,Houston,United States
1016,2022-04-11,T-shirt,Clothing,72,103,1237,40,Delivered,2022-04-18,1,3,1240,Emily Lizz,Barbara Hernandez,Male,36,Middle Age,Houston,United States
1017,2022-09-16,Sneakers,Footwear,75,99,1197,50,Delivered,2022-09-18,2,3,1200,Arnold Fazer,Paula Long,Male,24,Young,Boston,United States
1018,2022-09-10,Sneakers,Footwear,65,95,776,26,Delivered,2022-09-16,6,4,780,Chris Jordan,Sara Lewis,Male,57,Senior,Los Angeles,United States
1019,2022-10-26,Jeans,Clothing,43,71,220,8,Delivered,2022-10-29,3,4,224,David Willy,Ronald Walker,Male,43,Middle Age,Boston,United States
1020,2022-11-08,Refrigerator,Appliances,20,56,320,9,Delivered,2022-11-09,1,4,324,David Willy,Nicole Lawrence,Male,32,Middle Age,Atlanta,United States
1021,2022-01-20,Sneakers,Footwear,99,111,307,26,Delivered,2022-01-21,1,5,312,Arnold Fazer,Denise Goodman,Male,41,Middle Age,Seattle,United States
1022,2022-02-17,T-shirt,Clothing,35,47,454,38,Delivered,2022-02-24,1,2,456,Emily Lizz,Joshua Proctor,Male,47,Middle Age,Houston,United States
1023,2022-08-17,Sandles,Footwear,50,71,816,39,Delivered,2022-08-18,1,3,819,Arnold Fazer,Lonnie Spencer,Male,52,Senior,Atlanta,United States
1024,2022-07-27,Refrigerator,Appliances,81,95,26,2,Delivered,2022-08-03,7,2,28,David Willy,Lisa Miller,Male,52,Senior,San Francisco,United States
1025,2022-04-20,Sneakers,Footwear,93,125,446,14,Delivered,2022-04-24,4,2,448,David Willy,Cindy Carter,Male,57,Senior,Los Angeles,United States
1026,2022-06-06,Sneakers,Footwear,46,73,970,36,Delivered,2022-06-08,2,2,972,Lisa Rizi,Michael Shaw,Male,24,Young,Seattle,United States
1027,2022-12-15,Jeans,Clothing,46,58,416,35,Delivered,2022-12-18,3,4,420,Chris Jordan,Steven Brown,Male,65,Senior,San Francisco,United States
1028,2022-11-06,Refrigerator,Appliances,44,79,1501,43,Delivered,2022-11-09,3,4,1505,Arnold Fazer,Robert Goodman,Male,59,Senior,Seattle,United States
1029,2022-09-10,Sandles,Footwear,49,83,1016,30,Delivered,2022-09-13,3,4,1020,Lisa Rizi,Renee Morgan,Male,59,Senior,Seattle,United States
1030,2022-06-23,Watch,Accessories,49,72,43,2,Delivered,2022-06-27,4,3,46,Chris Jordan,Amy Wright,Male,29,Young,"Washington, D.C.",United States
1031,2022-10-03,Sandles,Footwear,30,47,115,7,Delivered,2022-10-08,5,4,119,Lisa Rizi,Karen Wright,Male,28,Young,Houston,United States
1032,2022-12-06,Sneakers,Footwear,83,106,663,29,Delivered,2022-12-12,6,4,667,Arnold Fazer,Gilbert Martin,Male,26,Young,Chicago,United States
1033,2022-04-23,Sneakers,Footwear,56,85,403,14,Delivered,2022-04-26,3,3,406,Lisa Rizi,Lori Watson,Male,46,Middle Age,Los Angeles,United States
