Order ID;Date;Product;Category; Purchase Price ; Sale Price ; Profit ;Quantity;Order Status;Delivery Date;Delivery Time (Days);Delivery Cost; Revenue ;Salesperson;Customer Name;Gender;Age;Age Group;State;Country
1001;12/08/2022;Sandles;Footwear; 22 ; 42 ; - ;3;Cancelled;18/08/2022;2;5; - ;Lisa Rizi;Luis Howell;Male;31;Middle Age;Houston;United States
1002;19/04/2022;Jeans;Clothing; 89 ; 129 ; 1.437 ;36;Delivered;24/04/2022;5;3; 1.440 ;Lisa Rizi;Todd Gonzalez;Male;24;Young;Washington, D.C.;United States
1003;07/05/2022;Sandles;Footwear; 94 ; 128 ; - ;5;Cancelled;12/05/2022;2;4; - ;Chris Jordan;James Parker;Male;33;Middle Age;Boston;United States
1004;08/03/2022;T-shirt;Clothing; 31 ; 54 ; - ;2;Cancelled;11/03/2022;1;5; - ;Arnold Fazer;Karen Payne;Male;62;Senior;Houston;United States
1005;30/10/2022;T-shirt;Clothing; 42 ; 69 ; - ;11;Cancelled;03/11/2022;1;3; - ;Lisa Rizi;Yvonne Rivas;Male;58;Senior;Houston;United States
1006;06/07/2022;Watch;Accessories; 70 ; 110 ; - ;48;Cancelled;07/07/2022;1;2; - ;Arnold Fazer;Nicole Simon;Male;54;Senior;Atlanta;United States
1007;11/12/2022;TV;Electronics; 25 ; 65 ; 236 ;6;Delivered;17/12/2022;6;4; 240 ;Chris Jordan;Jeffrey Griffin;Male;56;Senior;Boston;United States
1008;07/02/2022;Washing Machine;Appliances; 56 ; 77 ; 101 ;5;Delivered;13/02/2022;6;4; 105 ;Emily Lizz;Charles Gordon;Male;34;Middle Age;Miami;United States
1009;23/02/2022;Sandles;Footwear; 38 ; 69 ; 897 ;29;Delivered;26/02/2022;3;2; 899 ;Chris Jordan;Pamela Holmes;Male;54;Senior;Atlanta;United States
1010;05/10/2022;Laptop;Electronics; 79 ; 90 ; 249 ;23;Delivered;07/10/2022;2;4; 253 ;Lisa Rizi;Kimberly Ferguson;Male;36;Middle Age;Los Angeles;United States
1011;12/05/2022;Smartphone;Electronics; 85 ; 113 ; 947 ;34;Delivered;15/05/2022;3;5; 952 ;Emily Lizz;Robert Garcia;Male;57;Senior;Miami;United States
1012;01/02/2022;Sandles;Footwear; 32 ; 63 ; 1.361 ;44;Delivered;06/02/2022;2;3; 1.364 ;Arnold Fazer;Ricardo Sanchez;Male;18;Young;Miami;United States
1013;26/07/2022;Washing Machine;Appliances; 21 ; 44 ; 341 ;15;Delivered;31/07/2022;5;4; 345 ;Chris Jordan;Nancy Hall;Male;51;Senior;Houston;United States
1014;30/11/2022;Smartphone;Electronics; 74 ; 95 ; 814 ;39;Delivered;03/12/2022;3;5; 819 ;David Willy;Joseph Hampton;Male;41;Middle Age;Chicago;United States
1015;05/09/2022;Laptop;Electronics; 74 ; 107 ; 29 ;1;Delivered;10/09/2022;5;4; 33 ;Arnold Fazer;Tiffany Hernandez;Male;36;Middle Age;Houston;United States
1016;11/04/2022;T-shirt;Clothing; 72 ; 103 ; 1.237 ;40;Delivered;18/04/2022;1;3; 1.240 ;Emily Lizz;Barbara Hernandez;Male;36;Middle Age;Houston;United States
1017;16/09/2022;Sneakers;Footwear; 75 ; 99 ; 1.197 ;50;Delivered;18/09/2022;2;3; 1.200 ;Arnold Fazer;Paula Long;Male;24;Young;Boston;United States
1018;10/09/2022;Sneakers;Footwear; 65 ; 95 ; 776 ;26;Delivered;16/09/2022;6;4; 780 ;Chris Jordan;Sara Lewis;Male;57;Senior;Los Angeles;United States
1019;26/10/2022;Jeans;Clothing; 43 ; 71 ; 220 ;8;Delivered;29/10/2022;3;4; 224 ;David Willy;Ronald Walker;Male;43;Middle Age;Boston;United States
1020;08/11/2022;Refrigerator;Appliances; 20 ; 56 ; 320 ;9;Delivered;09/11/2022;1;4; 324 ;David Willy;Nicole Lawrence;Male;32;Middle Age;Atlanta;United States
1021;20/01/2022;Sneakers;Footwear; 99 ; 111 ; 307 ;26;Delivered;21/01/2022;1;5; 312 ;Arnold Fazer;Denise Goodman;Male;41;Middle Age;Seattle;United States
1022;17/02/2022;T-shirt;Clothing; 35 ; 47 ; 454 ;38;Delivered;24/02/2022;1;2; 456 ;Emily Lizz;Joshua Proctor;Male;47;Middle Age;Houston;United States
